번호,GMP 품목군,구분
1,진료용 일반장비 (General Equipment for Medical Treatment),A01000 진료대와 수술대 Operating and treatment table
1,진료용 일반장비 (General Equipment for Medical Treatment),A02000 의료용 침대 Bed for medical use
1,진료용 일반장비 (General Equipment for Medical Treatment),A03000 의료용조명기 Medical light and lamps
1,진료용 일반장비 (General Equipment for Medical Treatment),A68000 치과용 진료 장치 및 의자 Dental unit and chair
1,진료용 일반장비 (General Equipment for Medical Treatment),"A88000 이비인후과용 진료장치 및 의자 Treatment table for Ear, Nose and Throat"
1,진료용 일반장비 (General Equipment for Medical Treatment),A89000 안과용 진료 장치 및 의자 Ophthalmic instrument table and chair
1,진료용 일반장비 (General Equipment for Medical Treatment),A04000 의료용 소독기 Medical sterilizing apparatus
1,진료용 일반장비 (General Equipment for Medical Treatment),A05000 의료용 무균수 장치 Medical water sterilizers
2,수술용 장치 (Surgical Operation System),A06000 마취기 Anesthesia apparatus
2,수술용 장치 (Surgical Operation System),A39000 의료용 흡인기 Aspirators for medical use
2,수술용 장치 (Surgical Operation System),A35000 전기 및 기타 수술장치 Electrosugical and other surgical devices
2,수술용 장치 (Surgical Operation System),A36000 냉동 수술장치 Cryosurgery device
2,수술용 장치 (Surgical Operation System),A40000 기흉기 및 기복기 Pneumothorax and Pnemoperitoneum apparatus
3,레이저수술용 장치 (Laser surgical devices),A37000 레이저 진료기 Laser apparatus for medical use
3,레이저수술용 장치 (Laser surgical devices),A15500 레이저 장해 방어용 기구 Laser protective device
4,의료용 챔버 (Chamber for Medical Purpose),A08000 의료용 챔버 Medical chamber
4,의료용 챔버 (Chamber for Medical Purpose),A34000 의료용 정온기 Thermostats for medical use
5,생명유지 장치 (Life Support System),A07000 호흡보조기 Respiratory apparatus
5,생명유지 장치 (Life Support System),A10000 보육기 Neonatal incubator
6,내장기능 대용기(I) (Device for Replacing Function of Internal Organ(I)),A09000 내장기능 대용기 Artificial internal organ apparatus
7,내장기능 대용기(II) (Device for Replacing Function of Internal Organ(II)),"A09000 내장기능 대용기(3,4등급) Artificial internal organ apparatus(3,4 class)"
8,진단용 장치(I) (Diagnostic Imaging System(I)),A11000 진단용 엑스선 장치 Diagnostic X-ray system
8,진단용 장치(I) (Diagnostic Imaging System(I)),A12000 비전리 진단장치 Non-ionization diagnostic device
8,진단용 장치(I) (Diagnostic Imaging System(I)),A13000 방사선 진료장치 Radiolgic device
9,진단용 장치(II) (Diagnostic Imaging System(II)),A14000 의료용 필름 현상기 Film developer for medical use
9,진단용 장치(II) (Diagnostic Imaging System(II)),A87000 의료용 필름 판독장치 Film viewing devices for medical use
9,진단용 장치(II) (Diagnostic Imaging System(II)),B01000 방사선용품 Radiographic supplies
9,진단용 장치(II) (Diagnostic Imaging System(II)),A15000 방사선 장해 방어용 기구 Radiation protective device
10,이학 진료용 기구(I) (Physical devices for medical use(I)),A16000 이학 진료용 기구 Physical devices for medical use
11,이학 진료용 기구(II) (Physical devices for medical use(II)),"A16000 이학 진료용 기구(3,4 등급) Physical devices for medical use(3,4 class)"
