대분류코드,대분류명,중분류코드,중분류명,품목코드,품목명,등급,정의
A,기구·기계,A01000,진료대와 수술대,A01010.01,범용 수동식 진료대,1,일반적으로 사용하는 수동식 진료대
A,기구·기계,A01000,진료대와 수술대,A01010.02,범용 수동 유압식 진료대,1,일반적으로 사용하는 수동 유압식 진료대
A,기구·기계,A01000,진료대와 수술대,A01010.03,비뇨기과용 수동식 진료대,1,비뇨기과에서 사용하는 수동식 진료대(수술대 겸용 포함)
A,기구·기계,A01000,진료대와 수술대,A01010.04,비뇨기과용 수동 유압식 진료대,1,비뇨기과에서 사용하는 수동 유압식 진료대(수술대 겸용 포함)
A,기구·기계,A01000,진료대와 수술대,A01010.05,산부인과용 수동식 진료대,1,산부인과에서 사용하는 수동식 진료대
A,기구·기계,A01000,진료대와 수술대,A01010.06,산부인과용 수동 유압식 진료대,1,산부인과에서 사용하는 수동 유압식 진료대
A,기구·기계,A01000,진료대와 수술대,A01010.07,산부인과용 수동식 분만대,1,산부인과에서 사용하는 수동식 분만대
A,기구·기계,A01000,진료대와 수술대,A01010.08,산부인과용 수동 유압식 분만대,1,산부인과에서 사용하는 수동 유압식 분만대
A,기구·기계,A01000,진료대와 수술대,A01010.09,수동식 진단용 엑스선 장치 진료대,1,엑스선을 이용하여 인체를 투시·촬영할 때 사용하는 수동식 진료대
A,기구·기계,A01000,진료대와 수술대,A01010.10,범용 전동식 진료대,1,일반적으로 사용하는 전동식 진료대
A,기구·기계,A01000,진료대와 수술대,A01010.11,범용 전동 유압식 진료대,1,일반적으로 사용하는 전동식 유압식 진료대
A,기구·기계,A01000,진료대와 수술대,A01010.12,비뇨기과용 전동식 진료대,1,비뇨기과에서 사용하는 전동식 진료대(수술대 겸용 포함)
A,기구·기계,A01000,진료대와 수술대,A01010.13,비뇨기과용 전동 유압식 진료대,1,비뇨기과에서 사용하는 전동 유압식 진료대(수술대 겸용 포함)
A,기구·기계,A01000,진료대와 수술대,A01010.14,산부인과용 전동식 진료대,1,산부인과에서 사용하는 전동식 진료대
A,기구·기계,A01000,진료대와 수술대,A01010.15,산부인과용 전동 유압식 진료대,1,산부인과에서 사용하는 전동 유압식 진료대
A,기구·기계,A01000,진료대와 수술대,A01010.16,산부인과용 전동식 분만대,1,산부인과에서 사용하는 전동식 분만대
